Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C9",0805,2,22uF,C45783
"C10, C11, C12, C13, C14, C15, C16, C2, C3, C4, C5, C6, C7, C8",0603,14,100nF,C14663
C17,0603,1,22nF,C21122
"D1, D2",D_SOD-323,2,1N5819WS,C191023
D3,D_SOD-323,1,1N4148WS,C2128
D4,LED_D3.0mm,1,LED,
"D5, D6",LED_D3.0mm,2,LED_RED_GREEN,
J1,BoxHeader_2x05_2.54mm_Europower,1,POWER,
J2,AudioJack_PJ301M-12,1,GATE,
J3,AudioJack_PJ301M-12,1,X_OUT,
J4,AudioJack_PJ301M-12,1,X_IN,
J5,AudioJack_PJ301M-12,1,Y_OUT,
J6,AudioJack_PJ301M-12,1,Y_IN,
JS1,Joystick_RKJXV122400R,1,RKJXV122400R,
"R1, R18, R38",0603,3,1M,C22935
"R10, R12, R15, R20, R25, R27, R29, R30, R32, R35, R40, R45, R6, R7, R9",0603,15,10K,C25804
"R11, R2, R26, R31, R46",0603,5,100K,C25803
"R13, R23, R24, R33, R43, R44",0603,6,1K,C21190
"R14, R34",0603,2,22K,C31850
"R16, R36",0603,2,5.1K,C23186
"R17, R37",0603,2,39K,C23153
"R19, R39",0603,2,3.3K,C22978
"R21, R41",0603,2,8.2K,C25981
"R22, R42",0603,2,82K,C23254
"R28, R8",0603,2,150K,C22807
R3,0603,1,470K,C23178
R4,0603,1,6.8K,C23212
R5,0603,1,4.7K,C23162
"RV1, RV4",Potentiometer_Bourns_3296W_Vertical,2,5kΩ 502,
"RV2, RV3, RV5, RV6",Potentiometer_RV09,4,B100K,
"U1, U2, U3, U4, U5, U6",SOIC-8_3.9x4.9mm_P1.27mm,6,TL072CDT,C6961
